"Event";"Class"
"_EMAIL_NOTIFY_EVENT_INVITE_DESCRIPTION";"This email is sent to someone when they are invited to an class."
"_EMAIL_NOTIFY_EVENT_INVITE_SUBJECT";"You have been invited to join the class [object_title]"
"_EMAIL_NOTIFY_EVENT_INVITE_BODY";"[header]

You have been invited to join the class ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

"You have not joined any events yet.";"You have not joined any classes yet."
"There are no events yet.";"There are no classes yet."
"Why don't you %1$screate one%2$s?";"Why don't you %1$screate one%2$s?"
"There are no past events yet.";"There are no past classes yet."
"Date Created";"Date Created"

"Event doesn't exists or not authorized to delete";"Class doesn't exists or not authorized to delete"
"The selected event has been deleted.";"The selected class has been deleted."

# create classes add rename
"ADD_CLASS_STARTER";"+ add additional part of the starter Course"
"ADD_CLASS_MAIN";"+ add additional part of the main Course"
"ADD_CLASS_DESSERT";"+ add additional part of the dessert Course"
"ADD_CLASS_BEVERAGES";"+ add additional part of the beverages Course"
"ADD_CLASS_TAKEAWAYS";"+ add additional part of the takeaways Course"

# error message
"You can't pay for this class as you're not accepted for it anymore";"You can't pay for this class as you're not accepted for it anymore."

"Time left for pay: ";"Time left for pay: "

# My Classes widget
"CLASSES_TYPE_HOSTED";"Classes I host"
"CLASSES_TYPE_ATTEND";"Classes I attend"
"CLASSES_TYPE_PAST";"Classes that I hosted or attended in the past."
"By %1$s, %2$s";"By %1$s,<br>%2$s"
"There are no such classes yet.";"There are no such classes yet."

"%1$s (%2$s place left)";"%1$s (%2$s place left)";"%1$s (%2$s places left)"
"Unfortunately %1$s has cancelled his request for attendance in class %2$s before your approvement.";"Unfortunately %1$s has cancelled his request for attendance in class %2$s before your approvement."
"Expired";"Expired"

# classes-steps
"CLASSES_FIRST_STEP_GUEST_TITLE";"Be a Guest!"
"$1%sBe$2%s a $3%sG$4%suest!";"$1%sBe$2%s a $3%sG$4%suest!"
"CLASSES_FIRST_STEP_GUEST_DESCRIPTION";"Invite people from all over the world to Eat With you! Share with them your favorite dishes and unique cultural insights. As an <b>happetite</b> host, you can nurture your passion for cooking and hosting, show off your cooking skills and connect with people from around the globe. Invite people from all over the world to Eat With you!

Share with them your favorite dishes and unique cultural insights. As an <b>happetite</b> host, you can nurture your passion for cooking and hosting, show off your cooking skills and connect with people from around the globe."
"CLASSES_FIRST_STEP_HOST_TITLE";"Be a Host"
"%1$sBe%2$s a %3$sH%4$sost!";"%1$sBe%2$s a %3$sH%4$sost!"
"CLASSES_FIRST_STEP_HOST_DESCRIPTION";"Invite people from all over the world to Eat With you! Share with them your favorite dishes and unique cultural insights.

As an EatWith host, you can nurture your passion for cooking and hosting, show off your cooking skills and connect with people from around the globe."
"CLASSES_STEP_GUEST_SHARE_TITLE";"Your request to join the class has been sent to host."
"CLASSES_STEP_GUEST_SHARE_TITLE_MORE";"You will get notified within 24h!"
"CLASSES_STEP_GUEST_SHARE_DESCRIPTION";"Share this class with your friends and followers using the buttons below."
"SHARED_GUEST_TITLE_TWITTER";"I just applied for this cooking class:"
"SHARED_GUEST_TITLE_FACEBOOK";"I just applied for this cooking class:"

"SHARED_TITLE_FACEBOOK %s";"I will participate in this cooking class: %s."
"SHARED_DESCRIPTION_FACEBOOK";"Come and join!"

"SHARED_HOST_TITLE_TWITTER";"I will host this cooking class:"
"SHARED_HOST_TITLE_FACEBOOK";"I will host this cooking class:"
"SHARED_HOST_TITLE_EMAIL";"Join my cooking class on Happetite."
"SHARED_HOST_TEXT_EMAIL %s";"I will host this cooking class: %s. Why don't you join the fun and be part of it."
"SHARED_GUEST_TITLE_EMAIL";"Check out a cooking class I am attending on Happetite!"
"SHARED_GUEST_TEXT_EMAIL %s";"I will attend this cooking class: %s. Why don't you join the fun and be part of it."

"You have recently applied to the class %1$s. %2$s has accepted your request and would be happy to welcoming you to his event. All that is left is the payment. Please click the link below in order to pay the full amount of %3$s. %4$s. Note, since you applied on a rather short note, you only have until %5$s to pay for the class.";"You have recently applied to the class %1$s. %2$s has accepted your request and would be happy to welcoming you to his event. All that is left is the payment. Please click the link below in order to pay the full amount of %3$s. %4$s. Note, since you applied on a rather short note, you only have until %5$s to pay for the class."
"You have recently accepted %1$s to the class %2$s. Unfortunately %1$s has not paid within the given timeframe of 24 hours. He was notified that he has 24 hours and that he has to apply for the class again if he still wants to join.";"You have recently accepted %1$s to the class %2$s. Unfortunately %1$s has not paid within the given timeframe of 24 hours. He was notified that he has 24 hours and that he has to apply for the class again if he still wants to join."
"Dear %1$s, you were accepted for the class %2$s. Unfortunately we have not received the payment of the class fee in 24 hours. If you still would like to join the class, you will have to apply again. You are most welcome to apply for any other class you desire to join.";"Dear %1$s, you were accepted for the class %2$s. Unfortunately we have not received the payment of the class fee in 24 hours. If you still would like to join the class, you will have to apply again. You are most welcome to apply for any other class you desire to join."

# review
"There are no reviews yet.";"There are no reviews yet."
"MY REVIEWS";"MY REVIEWS"
"MY RECIPES";"MY RECIPES"
"MY CLASSES";"MY CLASSES"
"READ FULL!";"READ FULL!"
"CONTACT ME";"CONTACT ME"
"(%1$s)";"(%1$s)"
"%s review";"%s review";"%s reviews"
"No rating has been casted yet.";"No rating has been casted yet."

"By %1$s";"By %1$s"
"By %s";"By %s"
"|";"|"

# FORMS
"FORM_EDIT_DESCRIPTION";"FORM_EDIT_DESCRIPTION"
"FORM_CREATE_DESCRIPTION";"FORM_CREATE_DESCRIPTION"
"Fields marked with an asterisk %s are mandatory.";"Fields marked with an asterisk %s are mandatory."
"BANK ACCOUNT INFORMATION";"Please enter your banking information below"
"We will not share your banking details with third parties. Please Check our %s for more details";"We will not share your banking details with third parties.
Please Check our %s for more details"
"Privacy Policy";"Privacy Policy"

# How Does It Work Widget
"Steps for hosts";"Steps for hosts"
"HOW_DOES_IT_WORK_STEP_ONE";"<span>First</span> sit ame dolor LoremLorem ipsum sit Lorem ipsum sit ame dolorame dolor ipsum sit ame dolor"
"HOW_DOES_IT_WORK_STEP_THIRD";"<span>Third</span> sit ame dolor LoremLorem ipsum sit Lorem ipsum sit ame dolorame dolor ipsum sit ame dolor"
"HOW_DOES_IT_WORK_STEP_SECOND";"<span>Second</span> sit ame dolor LoremLorem ipsum sit Lorem ipsum sit ame dolorame dolor ipsum sit ame dolor"
"HOW_DOES_IT_WORK_STEP_GUEST_ONE";"<span>First</span> sit ame dolor LoremLorem ipsum sit Lorem ipsum sit ame dolorame dolor ipsum sit ame dolor"
"HOW_DOES_IT_WORK_STEP_GUEST_THIRD";"<span>Third</span> sit ame dolor LoremLorem ipsum sit Lorem ipsum sit ame dolorame dolor ipsum sit ame dolor"
"HOW_DOES_IT_WORK_STEP_GUEST_SECOND";"<span>Second</span> sit ame dolor LoremLorem ipsum sit Lorem ipsum sit ame dolorame dolor ipsum sit ame dolor"
"attend a class";"attend a class"
"become a host";"become a host"
"- or -";"- or -"
"Menu:";"Menu:"
"Download a Recipe";"Download a Recipe"

# Host share
"CLASSES_STEP_HOST_SHARE_TITLE";"Your class has been created."
"CLASSES_STEP_HOST_SHARE_TITLE_MORE";""
"CLASSES_STEP_HOST_SHARE_DESCRIPTION";"Share this class with your friends and followers using the buttons below."

# menu-mini
"My Settings";"My Settings"
"My Happetite";"My Happetite"
"Attend a Class";"Attend a Class"
"Host a Class";"Host a Class"


"At least on course must contain entry!";"At least on course must contain entry!"
"NOTE: The main picture is the one that will be shown in the previews";"NOTE: The main picture is the one that will be shown in the previews"
"Note: If you leave this field empty, participant will be able to apply for the class until you press the "mark class as fully booked" button in the class profile.";"Note: If you leave this field empty, participant will be able to apply for the class until you press the "mark class as fully booked" button in the class profile."
"Price incl. service fee (price guests pay to attend)";"Price incl. service fee (price guests pay to attend)"
"EVENT_VIEWS_SCRIPTS_ADMINMANAGE_SLIDER_DESCRIPTION";"Slider for the Landing Page"
"You do not slide";"You haven't added any slides yet"


"attend a class";"attend a class"
"host a class";"host a class"
"how it works";"how it works"















