"de_DE";"de_DE"
"Language";"Sprache"
"Messages";"Nachrichten"
"%s update";"%s News";"%s News"
"updates";"News"
"0 Updates";"0 News"
"My Events";"Meine Kurse"
"MY CLASSES";"MEINE KURSE"
"MY RECIPES";"MEINE REZEPTE"
"No rating has been casted yet.";"Es wurde noch keine Bewertung abgegeben."
"Contact Me";"Nachricht schicken"
"CONTACT ME";"NACHRICHT SCHICKEN"
"Attend a Class";"an einem Kurs teilnehmen"
"Join Event";"an einem Kurs teilnehmen"
"attend a class";"an einem Kurs teilnehmen"
"Host a Class";"Kurs anbieten"
"How do you rate this member?";"Wie bewertest du diesen Benuzter?"
"How do you rate this member?";"Wie bewertest du diesen Benutzer?"
"Compose your new review below, then click ""Post Review"" to publish the review.";"Schreibe dein neues Review und klicke auf 'Review senden' um es zu veröffentlichen."
"Post Review";"Review senden"
"attend a class";"attend a class"
"";""
"attend a class";"attend a class de"
"Pizza Slide";"Pizza Slide"
"Pizza Slide";"Pizza Slide De"
"Shrimps Slide";"Shrimps Slide"
"Shrimps Slide";"Shrimps Slide DE"
"MY CLASSES";"MY CLASSES"
"MY CLASSES";"MEINE KURSE"
"RECIPES";"RECIPES"
"RECIPES";"REZEPTE"
"Czech";"Czech"
"Languages I speak";"Sprachen, die ich spreche"
"Czech";"Tschechisch"
"Timezone";"Timezone DE"
"Shrimps Slide";"Crevettten Slide"
"attend a class";"An Kurs teilnehmen"
"host a class";"Kurs anbieten"
"become a host";"Werde Gastgeber"
"become a host";"Kurs leiten"
"how it works";"Wie funktioniert's"
"HOW DOES IT WORK?";"HOW DOES IT WORK?"
"HOW DOES IT WORK?";"Wie funktioniert's?"
"RECENTLY ADDED CLASSES!";"RECENTLY ADDED CLASSES!"
"RECENTLY ADDED CLASSES!";"RECENTLY ADDED CLASSES! DE"
"Steps for hosts";"Anleitung für Gastgeber"
"My Classes";"Meine Kurse"
"Recently Added Classes!";"Kürzlich hinzugefügte Kurse!"
