"de_CH";"de_CH"
"Timezone";"Timezone (SWISS)"
"CLASSES_FIRST_STEP_HOST_DESCRIPTION";"Invite people from all over the world to Eat With you! Share with them your favorite dishes and unique cultural insights."
"CLASSES_FIRST_STEP_HOST_DESCRIPTION";" "
"CLASSES_FIRST_STEP_HOST_DESCRIPTION";"CLASSES_FIRST_STEP_HOST_DESCRIPTION "
